Reference,Gene,Peptide,Protein,miR-17/20a_6mer,miR-17/20a_7mer-A1,miR-17/20a_7mer-m8,miR-17/20a_8mer,miR-18a_6mer,miR-18a_7mer-A1,miR-18a_7mer-m8,miR-18a_8mer,miR-19a/b_6mer,miR-19a/b_7mer-A1,miR-19a/b_7mer-m8,miR-19a/b_8mer,miR-92a_6mer,miR-92a_7mer-A1,miR-92a_7mer-m8,miR-92a_8mer
NM_001033925,TIAL1,4,0.043989624,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
NM_002790,PSMA5,14,0.044048663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000852,GSTP1,31,0.044174938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018714,COG1,8,0.044330015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001014,RPS10,4,0.044443896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003757,EIF3I,10,0.044463737,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_001035247,UFD1L,8,0.044895708,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_017746,TEX10,2,0.045378406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000386,BLMH,10,0.045463021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000147,FUCA1,3,0.045473573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_012341,GTPBP4,4,0.045496678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006819,STIP1,56,0.045541761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002753,MAPK10,3,0.045705725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_019005,FLJ20323,4,0.045724633,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
NM_032560,SMEK1,7,0.045933345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001079525,PAICS,15,0.046101763,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_022493,NARFL,2,0.046133236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015569,DNM3,8,0.046265594,5,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
NM_012399,PITPNB,16,0.046307556,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
NM_022488,ATG3,2,0.046810738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_032204,ASCC2,6,0.046860847,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NM_002293,LAMC1,11,0.046865127,4,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0
NM_001012321,RPSA,15,0.047278969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005614,RHEB,5,0.047296082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_023923,PHACTR4,4,0.047412128,6,1,3,0,0,0,0,0,3,0,1,0,2,0,2,0
NM_133259,LRPPRC,48,0.047441227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003371,VAV2,2,0.047721608,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_002582,PARN,2,0.047891653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_144975,SLFN5,2,0.048299633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_138923,TAF1,2,0.048389656,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
NM_002805,PSMC5,33,0.048777112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_032121,MAGT1,3,0.049161433,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001545,ICT1,5,0.049264491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004320,ATP2A1,12,0.049603367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_153280,UBA1,21,0.049651062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_030877,CTNNBL1,11,0.049655177,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NM_024635,MAK10,10,0.049664081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_024864,MRM1,2,0.049708367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001018,RPS15,13,0.050039483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_199440,HSPD1,161,0.050194529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015440,MTHFD1L,2,0.05026208,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_207672,GRIPAP1,20,0.050430175,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
NM_020137,GRIPAP1,20,0.050430175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002197,ACO1,5,0.050522871,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_001212,C1QBP,4,0.050598218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001655,ARCN1,13,0.050727805,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
NM_001079872,CUL4B,3,0.050799276,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
NM_032493,AP1M1,6,0.051161681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001349,DARS,31,0.051210272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004423,DVL3,5,0.051433631,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
NM_024562,TMCO7,2,0.051454719,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_003825,SNAP23,8,0.051759502,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
NM_006750,SNTB2,5,0.051784537,6,1,2,0,2,1,0,0,2,1,0,0,1,1,0,0
NM_003707,RUVBL1,24,0.052186968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002811,PSMD7,4,0.052238725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002786,PSMA1,16,0.052371982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_022051,EGLN1,2,0.052456935,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_000411,HLCS,3,0.052476182,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_006559,KHDRBS1,2,0.052513276,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
NM_001011713,NAT12,2,0.052515453,2,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0
NM_001030055,ARHGAP5,3,0.052656382,3,0,1,0,3,1,1,0,2,0,1,0,1,0,0,0
NM_016141,DYNC1LI1,5,0.052764145,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_001008492,SEPT2,2,0.053131889,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
NM_003350,UBE2V2,10,0.053187878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015871,ZNF593,2,0.053540268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016039,C14ORF166,3,0.053651497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015199,ANKRD28,2,0.05394854,2,0,1,0,3,1,0,0,1,0,0,0,3,2,1,1
NM_001031617,COX19,3,0.053994875,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
NM_014463,LSM3,3,0.054014954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002040,GABPA,4,0.054245706,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
NM_001099856,IKBKG,6,0.054282164,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
NM_000285,PEPD,5,0.054632118,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
NM_198976,TH1L,6,0.054689325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004730,ETF1,8,0.054712567,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_001083614,EARS2,4,0.054879691,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
NM_015971,MRPS7,11,0.054995271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001007,RPS4X,16,0.055212496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_174956,ATP2A3,6,0.055463011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005754,G3BP1,24,0.055465086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002300,LDHB,52,0.055565595,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_014408,TRAPPC3,4,0.055615262,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_025222,WDR82,3,0.055936905,3,0,3,0,3,1,1,0,1,0,0,0,0,0,0,0
NM_004396,DDX5,21,0.056071643,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002766,PRPSAP1,2,0.056358231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_021934,C12ORF44,4,0.056597713,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_000255,MUT,5,0.056914698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004559,YBX1,3,0.057145995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004446,EPRS,25,0.057203195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002291,LAMB1,12,0.057338693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015934,NOP5/NOP58,7,0.057412117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014390,SND1,28,0.057937401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_175932,PSMD13,9,0.058023822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001040455,SIDT2,2,0.058031286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_175573,ADRM1,5,0.058076768,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NM_002793,PSMB1,8,0.058317236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018031,WDR6,3,0.058578187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014444,TUBGCP4,3,0.058794493,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003496,TRRAP,8,0.05897789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014744,TBC1D5,10,0.059368941,3,0,0,0,3,1,1,1,0,0,0,0,3,1,0,0
NM_002810,PSMD4,7,0.059812196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003470,USP7,11,0.060563026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_198066,GNPNAT1,8,0.060870091,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_173470,TMEM32,2,0.060946625,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_006191,PA2G4,29,0.061183115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006391,IPO7,8,0.061211461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005313,PDIA3,17,0.061330899,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_012102,RERE,2,0.061349367,3,0,1,0,1,0,0,0,2,1,1,1,1,0,0,0
AK096094.1,RERE,2,0.061349367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014252,SLC25A15,5,0.061638184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_145799,SEPT6,7,0.062289288,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_145802,SEPT6,7,0.062289288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001006665,RPS6KA1,3,0.062289636,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_016055,MRPL48,4,0.062395884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_032490,C14ORF142,7,0.062807491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001663,ARF6,2,0.062839208,5,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
NM_006451,PAIP1,9,0.063436533,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
NM_031458,PARP9,7,0.063717908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003904,ZNF259,6,0.063829686,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005488,TOM1,11,0.064063626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_007313,ABL1,3,0.064238041,1,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0
NM_000097,CPOX,13,0.064419972,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018841,GNG12,5,0.064431289,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NM_018386,PCID2,3,0.064465419,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NM_000754,COMT,3,0.064530315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000942,PPIB,59,0.064889511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_181489,ZNF445,16,0.064891529,4,1,2,1,3,1,0,0,3,2,1,1,2,0,1,0
NM_020394,ZNF695,16,0.064891529,2,0,1,0,1,1,0,0,2,2,1,1,2,0,1,0
NM_006969,ZNF28,16,0.064891529,2,0,1,0,4,0,0,0,1,1,0,0,1,0,1,0
NM_001010851,ZNF766,16,0.064891529,2,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0
NM_199132,ZNF468,16,0.064891529,2,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0
AK093141.1,ZNF789,16,0.064891529,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
NM_032433,ZNF333,16,0.064891529,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
NM_032453,ZNF527,16,0.064891529,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_007152,ZNF195,16,0.064891529,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_145287,ZNF519,16,0.064891529,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020652,ZNF286A,16,0.064891529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_032423,ZNF528,16,0.064891529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058230,ZNF354B,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005649,ZNF354A,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_182633,ZNF713,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_213603,ZNF789,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001013258,ZNF789,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_033273,ZNF479,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_152360,ZNF573,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_033468,ZNF257,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_173530,ZNF610,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_178523,ZNF616,16,0.064891529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_025247,ACAD10,8,0.064929405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK092356.1,ACAD10,8,0.064929405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003491,ARD1A,7,0.064982943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001414,EIF2B1,15,0.065315856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016237,ANAPC5,6,0.06562529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001008697,TFIP11,8,0.065762377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_024292,UBL5,4,0.065899602,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NM_012204,GTF3C4,4,0.066113035,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NM_024923,NUP210,4,0.066200364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_031407,HUWE1,30,0.066436816,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_000016,ACADM,4,0.06654917,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002370,MAGOH,3,0.066997465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014016,SACM1L,6,0.067042406,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
NM_022044,SDF2L1,3,0.067203617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_032421,CLIP2,3,0.067394533,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
NM_001042749,STAG2,2,0.067484814,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_016640,MRPS30,6,0.067611832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001253,CDC5L,4,0.067702489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_013285,GNL2,2,0.067793181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001017402,LAMB3,2,0.067808707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001014990,MRPL22,7,0.06794869,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014388,C1ORF107,2,0.068063348,4,0,1,0,3,0,1,0,1,1,1,1,2,0,0,0
NM_014060,MCTS1,3,0.068409417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006328,RBM14,5,0.068463492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003754,EIF3F,15,0.068463877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005419,STAT2,5,0.068734458,1,0,0,0,1,1,0,0,1,1,1,1,3,0,3,0
NM_000310,PPT1,3,0.068853082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005830,MRPS31,5,0.068860638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005389,PCMT1,5,0.069222753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018447,TMEM111,7,0.069409533,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_014346,TBC1D22A,2,0.069455665,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_001150,ANPEP,16,0.069636758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_003115,UAP1,6,0.070211355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_032822,FAM136A,13,0.070348943,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
NM_001007561,IRGQ,4,0.070407731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003095,SNRPF,6,0.070508363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014761,KIAA0174,2,0.070655379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_013291,CPSF1,3,0.070753328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_153374,LYSMD2,2,0.07097018,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
NM_015635,GAPVD1,10,0.070979732,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0
NM_002940,ABCE1,5,0.071378647,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_014230,SRP68,7,0.071409219,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AK098159.1,SRP68,7,0.071409219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014306,C22ORF28,17,0.071480684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_032737,LMNB2,5,0.071495023,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
NM_001968,EIF4E,2,0.071592532,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_015974,CRYL1,2,0.071872833,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_014225,PPP2R1A,21,0.071981993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006221,PIN1,3,0.072020312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001018069,SERBP1,10,0.072181849,2,0,0,0,1,0,0,0,2,0,1,0,2,0,1,0
NM_014999,RAB21,7,0.072854675,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0
NM_014815,MED24,3,0.072926427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004872,TMEM59,2,0.072972842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002806,PSMC6,23,0.073064612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_138615,DHX30,7,0.073543338,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AK096791.1,DHX30,7,0.073543338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001416,EIF4A1,44,0.073651031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_203495,COMMD6,3,0.073930311,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_002816,PSMD12,23,0.074239865,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_001014832,PAK4,3,0.074365989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005038,PPID,6,0.074653524,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
NM_001005353,AK3L1,2,0.074713027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006713,SUB1,5,0.074841932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000666,ACY1,9,0.075030323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001098505,DDX17,25,0.075064564,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_003321,TUFM,30,0.075143977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002468,MYD88,2,0.075864699,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_014941,MORC2,2,0.075936369,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NM_002415,MIF,24,0.07659468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005326,HAGH,5,0.076662114,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NM_013328,PYCR2,10,0.076727029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_176783,PSME1,9,0.076926029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_003171,SUPV3L1,7,0.076988786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006360,EIF3M,8,0.077114025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AK001768.1,EIF3M,8,0.077114025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK128263.1,SLC38A10,5,0.077115892,1,0,1,0,1,0,1,0,2,1,0,0,0,0,0,0
NM_001037984,SLC38A10,5,0.077115892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_138570,SLC38A10,5,0.077115892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003405,YWHAH,42,0.077289669,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NM_012394,PFDN2,4,0.077554749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016930,STX18,3,0.077583155,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_000938,POLR2B,11,0.077633441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_172218,SPAG1,6,0.077725411,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
AK057482.1,SPAG1,6,0.077725411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001921,DCTD,5,0.077925071,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_015723,PNPLA8,2,0.077942981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_007262,PARK7,18,0.078031353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014184,CNIH4,2,0.078042072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001007559,SS18,2,0.078200212,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_006047,RBM12,11,0.078423163,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004663,RAB11A,2,0.078437685,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016485,VTA1,8,0.078532637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005348,HSP90AA1,169,0.079419091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014772,KIAA0427,5,0.079854654,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
NM_001338,CXADR,2,0.080121188,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NM_007241,SNF8,4,0.080205734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018955,UBB,33,0.080272743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018246,CCDC25,6,0.080273904,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
NM_001011549,MAGEA4,5,0.080367717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_176863,PSME3,6,0.080540148,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
NM_016333,SRRM2,31,0.080590104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014976,PDCD11,3,0.080653789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006827,TMED10,5,0.081256839,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0
NM_013234,EIF3K,6,0.081505305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001039589,DPH2,3,0.081563694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006117,PECI,8,0.081629731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000976,RPL12,5,0.081705751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014500,HTATSF1,4,0.082245045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006833,COPS6,3,0.082247241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004238,TRIP12,9,0.082251295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC037956.1,TRIP12,9,0.082251295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_017548,CDV3,5,0.082349311,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_001005409,SF3A1,11,0.082427326,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_003906,MCM3AP,4,0.082678513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_182640,MRPS9,15,0.083053734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_017798,YTHDF1,6,0.083294493,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
NM_000143,FH,11,0.083403931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001001392,CD44,8,0.083476571,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
